OLDURL,NEWURL,TYPE,ID,COMMENT,MAIN,
/cabello/tenacillas-pelo/c525e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_i_pro_25mm-C525E.html,Product-Show,C525E,,es,
/cabello/tenacillas-pelo/tenacilla-deep-black-s-c619e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_s_»_19%C2%A0mm-C619E.html,Product-Show,C619E,,es,
/tenacilla-deep-black-s-c619e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_s_»_19%C2%A0mm-C619E.html,Product-Show,C619E,,es,
/cabello/tenacillas-pelo/tenacilla-deep-black-ceramic-m-c625e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_m_»_25_mm-C625E.html,Product-Show,C625E,,es,
/tenacilla-deep-black-ceramic-m-c625e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_m_»_25_mm-C625E.html,Product-Show,C625E,,es,
/cabello/tenacillas-pelo/tenacilla-deep-black-ceramic-l-c632e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_l_»_32%C2%A0mm-C632E.html,Product-Show,C632E,,es,
/tenacilla-deep-black-ceramic-l-c632e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_l_»_32%C2%A0mm-C632E.html,Product-Show,C632E,,es,
/cabello/tenacillas-pelo/tenacilla-deep-black-ceramic-xl-c638e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«xl_»_38_mm-C638E.html,Product-Show,C638E,,es,
/tenacilla-deep-black-ceramic-xl-c638e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«xl_»_38_mm-C638E.html,Product-Show,C638E,,es,
/cabello/rizadores-curl-secret/curl-secret-dark-pink,/mujer/cuidado_del_cabello/rizadores_curl_secret/fashion_curl_secret_rosa-C903PE.html,Product-Show,C903PE,,es,
/curl-secret-dark-pink,/mujer/cuidado_del_cabello/rizadores_curl_secret/fashion_curl_secret_rosa-C903PE.html,Product-Show,C903PE,,es,
/secador-compacto,/mujer/cuidado_del_cabello/formatos_mini/secador_compacto-D212E.html,Product-Show,D212E,,es,
/cabello/secadores-expert/expert-2000-negro,/mujer/cuidado_del_cabello/secadores/expert_2100_negro-D322E.html,Product-Show,D322E,,es,
/cabello/secadores-expert/expert-2200,/mujer/cuidado_del_cabello/secadores/secador_expert_2200-D342E.html,Product-Show,D342E,,es,
/pro-2200w,/mujer/cuidado_del_cabello/secadores/secador_expert_2200-D342E.html,Product-Show,D342E,,es,
/cabello/secadores-expert/expert-2300,/mujer/cuidado_del_cabello/secadores/secador_expert_2300-D362E.html,Product-Show,D362E,,es,
/retra-cord-2000,/mujer/cuidado_del_cabello/secadores/retra-cord_2000-D372E.html,Product-Show,D372E,,es,
/secador-inteligente/index.html,/mujer/cuidado_del_cabello/secadores/el%C2%A0secador%C2%A0inteligente-DIGITALSENSOR6500ESE.html,Product-Show,DIGITALSENSOR6500ESE,,es,
/cabello/range-sensor-digital/cepillo-inteligente-as500e-620,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_digital_sensor-DIGITALSENSORAS500E.html,Product-Show,DIGITALSENSORAS500E,,es,
/cepillo-moldeador-inteligente/index.html,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_digital_sensor-DIGITALSENSORAS500E.html,Product-Show,DIGITALSENSORAS500E,,es,
/curl-secret-inteligente/index.html,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_inteligente-DIGITALSENSORC1500E.html,Product-Show,DIGITALSENSORC1500E,,es,
/plancha-inteligente/index.html,/mujer/cuidado_del_cabello/planchas_de_pelo/plancha_inteligente_con__sensor_digital-DIGITALSENSORST500E.html,Product-Show,DIGITALSENSORST500E,,es,
/multi/naricero-orejero.html,/hombre/cuerpo/nariceros-orejeros/e650e-E650E.html,Product-Show,E650E,,babylissmen,
/pelo/cortapelos-535.html,/hombre/pelo/cortapelos/cortapelos-E695E.html,Product-Show,E695E,,babylissmen,
/pelo/pro-40.html,/hombre/pelo/cortapelos/cortapelos_pro_40-E751E.html,Product-Show,E751E,,babylissmen,
/pro-40.html,/hombre/pelo/cortapelos/cortapelos_pro_40-E751E.html,Product-Show,E751E,,babylissmen,
/cortapelos-e755e.html,/hombre/pelo/cortapelos/cortapelos_con_cable_e755e-E755E.html,Product-Show,E755E,,babylissmen,
/pelo/cortapelos-e755e.html,/hombre/pelo/cortapelos/cortapelos_con_cable_e755e-E755E.html,Product-Show,E755E,,babylissmen,
/pelo/pro-81.html,/hombre/pelo/cortapelos/cortapelos_pro_40_2_en_1-E781E.html,Product-Show,E781E,,babylissmen,
/cortapelos-e785r-sin-cable.html,/hombre/pelo/cortapelos/cortapelos_ergonómico_sin_cable-E785E.html,Product-Show,E785E,,babylissmen,
/pelo/cortapelos-e785r-sin-cable.html,/hombre/pelo/cortapelos/cortapelos_ergonómico_sin_cable-E785E.html,Product-Show,E785E,,babylissmen,
/pelo/pro-82.html,/hombre/pelo/cortapelos/cortapelos_pro_40_turbo-E791E.html,Product-Show,E791E,,babylissmen,
/pro-84.html,/hombre/pelo/cortapelos/cortapelos_pro_40_turbo-E791E.html,Product-Show,E791E,,babylissmen,
/cortapelos-2-en-1.html,/hombre/pelo/cortapelos/cortapelos_pelo_y_barba-E795E.html,Product-Show,E795E,,babylissmen,
/multi/multi-6.html,/hombre/cuerpo/multigroom/multi_6-E823E.html,Product-Show,E823E,,babylissmen,
/multi/multi-10.html,/hombre/cuerpo/multigroom/multi_10-E826E.html,Product-Show,E826E,,babylissmen,
/multi-10.html,/hombre/cuerpo/multigroom/multi_10-E826E.html,Product-Show,E826E,,babylissmen,
/multi-8.html,/hombre/cuerpo/multigroom/multi_8-E835E.html,Product-Show,E8353E,,babylissmen,
/multi-28.html,/hombre/cuerpo/multigroom/multi_8-E835E.html,Product-Show,E835E,,babylissmen,
/multi/multi-8.html,/hombre/cuerpo/multigroom/multi_8-E835E.html,Product-Show,E835E,,babylissmen,
/multi/multi-28.html,/hombre/cuerpo/multigroom/multi_8-E835E.html,Product-Show,E835E,,babylissmen,
/e856e.html,/hombre/barba/barberos/baardtrimmer-E856E.html,Product-Show,E856E,,babylissmen,
/barba/e856e.html,/hombre/barba/barberos/baardtrimmer-E856E.html,Product-Show,E856E,,babylissmen,
/barba/barbero-digital-control.html,/hombre/barba/barberos/barbero_digital_control-E876E.html,Product-Show,E876E,,babylissmen,
/barbero-digital-control.html,/hombre/barba/barberos/barbero_digital_control-E876E.html,Product-Show,E876E,,babylissmen,
/e886e.html,/hombre/barba/barberos/barbero_digital_control_recargable-E886E.html,Product-Show,E886E,,babylissmen,
/barba/e886e.html,/hombre/barba/barberos/barbero_digital_control_recargable-E886E.html,Product-Show,E886E,,babylissmen,
/pelo/pro-83.html,/hombre/pelo/cortapelos/cortapelos_pro_45_con_y_sin_cable-E933E.html,Product-Show,E933E,,babylissmen,
/pro-83.html,/hombre/pelo/cortapelos/cortapelos_pro_45_con_y_sin_cable-E933E.html,Product-Show,E933E,,babylissmen,
/pro-86.html,/hombre/pelo/cortapelos/cortapelos_pro_45_turbo-E934E.html,Product-Show,E934E,,babylissmen,
/pelo/pro-86.html,/hombre/pelo/cortapelos/cortapelos_pro_45_turbo-E934E.html,Product-Show,E934E,,babylissmen,
/pelo/pro-87.html,/hombre/pelo/cortapelos/pro_45_perfilador-E935E.html,Product-Show,E935E,,babylissmen,
/pelo/pro-85.html,/hombre/pelo/cortapelos/pro_45_perfilador-E935E.html,Product-Show,E935E,,babylissmen,
/pro-87.html,/hombre/pelo/cortapelos/pro_45_perfilador-E935E.html,Product-Show,E935E,,babylissmen,
/pelo/cortapelos-pro-45-led.html,/hombre/pelo/cortapelos/cortapelos_pro_45-E956E.html,Product-Show,E956E,,babylissmen,
/pelo/pro-45.html,/hombre/pelo/cortapelos/cortapelos_pro_45-E956E.html,Product-Show,E956E,,babylissmen,
/pelo/ipro-45-intensive.html,/hombre/pelo/cortapelos/ipro_45_intensive-E965IE.html,Product-Show,E965IE,,babylissmen,
/ipro-45-intensive.html,/hombre/pelo/cortapelos/ipro_45_intensive-E965IE.html,Product-Show,E965IE,,babylissmen,
/cortapelos-pro-41.html,/hombre/pelo/cortapelos/cortapelos_pro_41-E970E.html,Product-Show,E970E,,babylissmen,
/pelo/cortapelos-pro-41.html,/hombre/pelo/cortapelos/cortapelos_pro_41-E970E.html,Product-Show,E970E,,babylissmen,
/cortapelos-pro-41-titanio.html,/hombre/pelo/cortapelos/cortapelos_pro_41_titanio-E971E.html,Product-Show,E971E,,babylissmen,
/pelo/cortapelos-pro-41-titanio.html,/hombre/pelo/cortapelos/cortapelos_pro_41_titanio-E971E.html,Product-Show,E971E,,babylissmen,
/776501,/mujer/cuidado_del_cabello/formatos_mini/mini_plancha_de_viaje-H100E.html,Product-Show,H100E,,es,
/mini-plancha,/mujer/cuidado_del_cabello/formatos_mini/mini_plancha_de_viaje-H100E.html,Product-Show,H100E,,es,
/mini-plancha-rizadora,/mujer/cuidado_del_cabello/formatos_mini/mini_plancha_rizadora_de_viaje-H110E.html,Product-Show,H110E,,es,
/cabello/mini/mini-ondulador,/mujer/cuidado_del_cabello/formatos_mini/mini_ondulador_de_viaje-H120E.html,Product-Show,H120E,,es,
/mini-ondulador,/mujer/cuidado_del_cabello/formatos_mini/mini_ondulador_de_viaje-H120E.html,Product-Show,H120E,,es,
/mini-rizador,/mujer/cuidado_del_cabello/formatos_mini/mini_ondulador_de_viaje-H120E.html,Product-Show,H120E,,es,
/cabello/secadores-profesional/pro-digital,/mujer/cuidado_del_cabello/secadores/pro_digital-HERO6000E.html,Product-Show,HERO6000E,,es,
/pro-digital,/mujer/cuidado_del_cabello/secadores/pro_digital-HERO6000E.html,Product-Show,HERO6000E,,es,
/pro-digital-compact,/mujer/cuidado_del_cabello/secadores/pro_digital-HERO6000E.html,Product-Show,HERO6000E,,es,
/curl-secret-2,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_2-HEROC1300E.html,Product-Show,HEROC1300E,,es,
/beard-designer/index.html,/hombre/barba/barberos/le_beard_designer-HERODESIGNER,Product-Show,HERODESIGNER,,babylissmen,
/barba/le-beard-designer.html,/hombre/barba/barberos/le_beard_designer-HERODESIGNER.html,Product-Show,HERODESIGNER,,babylissmen,
/barba/cuchillas-de-recambio-le-beard-designer.html,/hombre/barba/barberos/le_beard_designer-HERODESIGNER.html,Product-Show,HERODESIGNER,,babylissmen,
/le-beard-designer.html,/hombre/barba/barberos/le_beard_designer-HERODESIGNER.html,Product-Show,HERODESIGNER,,babylissmen,
